text,lemma,type,pos,BM_x,domain,posts,annotator_agreement,metaphoricity_percentage,related_MV,target_domain,BM_y,BM_hypernym,BM_def,CM,CM_def,curator_comment,BM_RAE,CM_RAE
adaptar,adaptar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/reconstrucci%C3%B3n-00270186-n']),u.c.StringArray(elements=['Tratamiento » Cirugía']),,,,adaptar(se),39,adaptar-00299580-v',,"make fit for, or change to suit a new purpose: acomodar, adaptar, adaptarse, ajustar",adaptar-00150287-v,"adaptar, adaptarse, ajustar, ajustarse, conformar, conformarse, regular",,,
adapté,adapter,uniword,VERB,None,None,,,,,,,,,,,,,
adelants,adelants,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])",,,,,,,,,,,,,
,adueñar,,,,,,,,adueñar(se) miedo y ansiedad de una persona,32,adueñarse-02212646-v,get.v.01,"take possession of: adueñarse, encontrarse",,,,,
afectación,afectación,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
,afectar,,,,,,,,"afectado, afectación",,afectar-00019448-v,change.v.01,act physically on; have an effect upon: afectar,,,duda post 0041,,
aferramos,aferrar,uniword,VERB,None,None,,,,"aferrar, aferrar(se) a una posibilidad, aferrar(se) a un porcentaje","52, 31","aferrar-01212572-v, aferrar-01216004-v, aferrar-01216331-v",,"take hold of; grab: aferrar, agarrar, apoderar, apresar, asir, capturar, coger, confiscar, embargar, incautar, prender, sobrecoger; hold firmly; hold on tightly or tenaciously: aferrar, aferrarse, asirse",aferrar-01776065-v,to remain emotionally or intellectually attached: aferrar,,,
aferrarnos,aferrar yo,uniword,VERB,None,u.c.StringArray(elements=['personas>>apoyo']),,,,,,,,,,,,,
afluencia,afluencia,uniword,NOUN,None,None,,,,,,,,,,,,,
afrontado,afrontado,uniword,ADJ,None,None,,,,,,,,,,,,,
afrontándolo,afrontando él,uniword,VERB,None,None,,,,,,,,,,,,,
afronté;afrontando;afrontar,afrontar,uniword,VERB,None,None,,,,afrondar,"11, 2",afrontar-01078783-v,meet.v.10,"oppose, as in hostility or a competition: afrentar, afrontar, confrontar, encarar, enfrentar",afrontar-00812298-v,"deal with (something unpleasant) head on: afrontar, confrontar, enfrentar, enfrentarse",,,
agredir,agredir,uniword,VERB,None,None,,,,agresivo,"11, 6",agresivo-01244846-a,,"characteristic of an enemy or one eager to fight: agresivo, belicoso, beligerante",agresivo-01356143-a,tending to spread quickly: agresivo,,,
agresivos;agresivo;agresiva,agresivo,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
aguantar;aguantando,aguantar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor']),,,,aguantar,"32, 33, 2, 71","aguantar-01301410-v, aguantar-01546111-v",,"to close within bounds, limit or hold back from movement: aguantar, contener, sujetar; be standing; be upright: aguantar, alzar, levantar, levantarse, ponerse de pie, tolerar",aguantar-00668099-v,"put up with something or somebody unpleasant: aguantar, apechar, consentir, digerir, sobrellevar, soportar, sufrir, tolerar",,,
aguante,aguante,uniword,ADJ,None,None,,,,,,,,,,,,,
ahorrar,ahorrar,uniword,VERB,None,None,,,,ahorrar fuerzas,35,ahorrar-02266920-v,,spend less; buy at a reduced price: ahorrar,ahorrar-02225492-v,"to keep up and reserve for personal or special use: ahorrar, conservar, preservar, resguardar",,,
aislamiento,aislamiento,uniword,NOUN,None,None,,,,aislamiento,36,aislamiento-00827010-n,"act.n.02, activity.n.01, event.n.01, psychological_feature.n.01, protection.n.01, abstraction.n.06, entity.n.01",the act of protecting something by surrounding it with material that reduces or prevents the transmission of sound or heat or electricity: aislamiento,aislamiento-07502576-n,a feeling of being disliked and alone: aislamiento,,,
al paso de los meses,al,multiword,ADP,None,None,,,,,,,,,,,,,
,alargar,,,,,,,,alargar,6,alargar-00316631-v,"increase.v.01, change_magnitude.v.01, grow.v.02, change.v.02","become long or longer: alargar, alargarse, alongar, prolongar",alargar-00317888-v,"lengthen in time; cause to be or last longer: alargar, extenderse, prolongar",,,
alargue,alargue,uniword,VERB,None,None,,,,,,,,,,,,,
alarmar,alarmar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venirse+abajo-01972570-v']),None,,,,alarmar,32,alarmar-00872414-v,"communicate.v.02, inform.v.01, interact.v.01, warn.v.01, act.v.01","warn or arouse to a sense of danger or call to a state of preparedness: alarmar, alertar",alarmar-01782650-v,"fill with apprehension or alarm; cause to be unpleasantly surprised: alarmar, horripilar, horrorizar",,,
,albergar,,,,,,,,albergar,3,albergar-02459173-v,"shelter.v.01, give.v.03, transfer.v.05, supply.v.01","provide housing for: albergar, alojar, cobijar, dar alojamiento, domiciliar, hospedar",albergar-01773130-v,"maintain (a theory, thoughts, or feelings): abrigar, albergar, mantener",,,u.c.StringArray(elements=['mantener o fomentar  en la mente un sentimiento o una idea'])
albergas,albergas,uniword,VERB,None,None,,,,,,,,,,,,,
aliados,aliado,uniword,NOUN,None,None,,,,"buena anlimentación, ejercicio físico, hidratación, cariño a una misma y paciencia son los mejores aliados'","3, 27, 22",aliado-02612939-a,,of or relating to or denoting the Allies in World War II: aliado,ayuda-00082081-v,"improve the condition of: auxilio, ayuda, ayudar",,,
aligerar,aligerar,uniword,VERB,None,None,,,,aligerar el tiempo,"3, 39, 33",descargar-00448680-v,"change_state.v.01, change.v.02","become empty or void of its content: desalojar, descargar, descargarse, desocupar, vaciar",aligerarse-00082308-v,"lessen pain or discomfort; alleviate: aligerarse, aliviar, dar alivio, laxar, mitigar, reconfortar, relajarse",,,
aligera,aligero,uniword,ADJ,None,None,,,,,,,,,,,,,
alimentaban,alimentar,uniword,VERB,None,None,,,,alimentar(se) el cáncer de algo,11,alimentar-01178565-v,"provide.v.02, transfer.v.05, give.v.03","give food to: alimentar, dispensar, entregar, propinar, sustentar",alimentar-01762178-v,"stimulate: acalorar, alimentar, avivar",,,
alivia;aliviar,aliviar,uniword,VERB,None,None,,,,aliviar,30,aliviadero-04277034-n,"whole.n.02, way.n.06, conduit.n.01, passage.n.03, physical_entity.n.01, object.n.01, entity.n.01, artifact.n.01","dejar que un líquido salga por el aliviadero de un recipiente, para evitar que sobrepase un determinado nivel de este', 'quitar a alguien o algo parte del peso que sobre él o ello carga.",aliviar-00063916-v,"cause to feel better: aliviar, calmar, tranquilizar",,"u.c.StringArray(elements=['dejar que un líquido salga por el aliviadero de un recipiente, para evitar que sobrepase un determinado nivel de este', 'quitar a alguien o algo parte del peso que sobre él o ello carga.'])","u.c.StringArray(elements=['disminuir o mitigar las enfermedades, las fatigas del cuerpo o las aflicciones del ánimo.'])"
aliviarme,aliviar yo,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
"alta,;alta;alto",alto,uniword,ADJ,None,None,,,,"alto grado, presión arterial alta, fiebre alta, alta incertidumbre, ","31, 53, 23",alto-01204557-a,,(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like `knee-high'): alto,alto-01210854-a,greater than normal in degree or intensity or amount: alto,,,
amanecí,amanecer,uniword,VERB,None,None,,,,amanecer con dolor,25,amanecer-07326108-n,"beginning.n.01, entity.n.01, event.n.01, psychological_feature.n.01, start.n.01, abstraction.n.06, happening.n.01","the earliest period: alba, albor, amanecer",despertar-00018813-v,"cause to become awake or conscious: despertar, despertarse",,,"u.c.StringArray(elements=['aparecer o presentarse, especialmente de modo inesperado'])"
amargados,amargado,uniword,ADJ,None,None,,,,"amargar, amargado",3,amargo-02369460-a,,"tasting sour like a lemon: acre, agrio, amargo, ácido",amargo-01364993-a,amargo-01364993-a,,,
amargando,amargar,uniword,VERB,None,None,,,,,,,,,,,,,
amoldan,amoldar,uniword,VERB,None,None,,,,,,,,,,,,,
,amoldarse,,,,,,,,amodar(se),39,molde-05938795-n,"idea.n.01, ideal.n.01, psychological_feature.n.01, exemplar.n.01, abstraction.n.06, content.n.05, entity.n.01, cognition.n.01","a model considered worthy of imitation: modelo, molde",adaptar-00150287-v,"adaptar, adaptarse, ajustar, ajustarse, conformar, conformarse, regular",,,
amor,amor,uniword,PROPN,None,None,,,,,,,,,,,,,
ampliando,ampliar,uniword,VERB,None,None,,,,,,,,,,,,,
angelito,angelito,uniword,NOUN,None,None,,,,,,,,,,,,,
animado;animada,animado,uniword,ADJ,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"animar, animado, desanimar, ánimo, te animo, mucho animo","34, 76, 3",animado-00118066-a,,"endowed with animal life as distinguished from plant life: animado, viviente, vivo",animado-00362467-a,"being full of or promoting cheer; having or showing good spirits: alegre, animado, divertido, jovial",,,
animo;animar,animar,uniword,VERB,None,None,,,,,,,,,,,,,
animarle,animar él,uniword,VERB,None,None,,,,,,,,,,,,,
animéis,animéis,uniword,VERB,None,None,,,,,,,,,,,,,
ansiedad,ansiedad,uniword,NOUN,None,None,,,,,,,,,,,,,
anuncio,anuncio,uniword,NOUN,None,None,,,,,,,,,,,duda emma post 0031,,
apagando;apagan,apagar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros']),,,,apagar(se),26,apagar-02761897-v,,"put out, as of fires, flames, or lights: apagar, apagarse, extinguir, extinguirse, irse",morir-00358431-v,"pass from physical life and lose all bodily attributes and functions necessary to sustain life: acudir, asfixiar, asfixiarse, caducar, caer muerto, colgar los guayos, croar, dejar de existir, diñar, entregar el alma, espichar, estirar la pata, estrangular, exhalar el último suspiro, expirar, fallecer, fenecer, finar, ir, irse al otro barrio, morir, palmar, pasar, pasar a mejor vida, perder la vida, perecer, salir, salir de este mundo, sucumbir, vencer",,,u.c.StringArray(elements=['morirse (‖ llegar al término de la vida). (rae)'])
apagándose,apagar él,uniword,VERB,None,None,,,,,,,,,,,,,
aparecerán;aparecido;aparece,aparecer,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"aparición, aparecer","24, 52",,,,,,duda sergio,,
aparición,aparición,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
aplicaron,aplicar,uniword,VERB,None,None,,,,aplicar,6,aplicar-01233387-v,cover.v.01,"cover (a surface) by smearing (a substance) over it: aplicar, cubrir, embadurnar, embarrar, manchar, untar",administrar-00081072-v,"give or apply (medications): administrar, dispensar",,,
apoderó,apoderar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer']),,,,apoderar(se),32,apoderarse-01213614-v,take.v.04,"take or capture by force: apoderar, apoderarse, capturar, confiscar, embargar, incautar, prender, tomar",tener-00065370-v,"suffer from; be ill with: estar enfermo, padecer, tener",,,
aportemos;aportar,aportar,uniword,VERB,None,None,,,,aportar,77,aportar-02237782-v,"pay.v.01, give.v.03, transfer.v.05","provide: aportar, contribuir, donar",aportar-01182709-v,"give what is desired or needed, especially support, food or sustenance: abastecer, aportar, aprovisionar, cateraje, dotar, facilitar, ministrar, proporcionar, proveer, suministrar, surtir",,,
apoyamos,apoyamos,uniword,VERB,None,None,,,,,,,,,,,,,
apoyando;apoya;apoyemos.;apoyado,apoyar,uniword,VERB,None,None,,,,"apoyar, apoyar(se)","31, 76, 77","apoyar-01217043-v, apoyo-04359589-n",,"be the physical support of; carry the weight of: apoyar, soportar, sostener; any device that bears the weight of another thing: apoyo, soporte"," apoyo-07251984-n, apoyo-05693919-n","encouragement of the progress or growth or acceptance of something: apoyo, avance, fomento, fortalecimiento, promoción; something providing immaterial assistance to a person or cause or interest: apoyo, corroboración, sostén",,,
apoyarme;apoyarnos,apoyar yo,uniword,VERB,None,None,,,,,,,,,,,,,
apoyarla,apoyar él,uniword,VERB,None,None,,,,,,,,,,,,,
apoyarte,apoyartir,uniword,VERB,None,None,,,,,,,,,,,,,
apoyo,apoyo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/apoyo-04360501-n']),u.c.StringArray(elements=['personas>>apoyo']),,,,,,,,,,,,,
aprendizaje,aprendizaje,uniword,NOUN,None,None,,,,,,,,,,,"duda, post 90",,
apuntar,apuntar,uniword,VERB,None,None,,,,todo parece apuntar a',5,guiar-01931768-v,control.v.01,"direct the course; determine the direction of travelling: apuntar, canalizar, dirigir, encaminar, guiar, indicar, liderar, maniobrar",indicar-00772640-v,"give evidence of: apuntar, argumentar, demostrar, indicar, señalar",,,
aquí;aquí estamos,aquí,uniword,ADV,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n']),"u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])",,,,,,,,,,,,,
arcadas,arcada,uniword,ADJ,None,None,,,,arcada,23,arcada-02734217-n,"whole.n.02, way.n.06, access.n.03, physical_entity.n.01, object.n.01, entity.n.01, entrance.n.01, artifact.n.01","a passageway under a curved masonry construction: arcada, arco",arcada-14359952-n,"the state that precedes vomiting: ansia, arcada, asco, basca, mareo, naúsea, náusea",,,
,armar,,,,,,,,"armar, armar(se)",3,armar-01087197-v,,"prepare oneself for a military confrontation: armar, armarse",armar-00407848-v,"get ready for a particular purpose or event: armar, montar",,,
armarte,armarte,uniword,VERB,None,None,,,,,,,,,,,,,
arranque,arranque,uniword,NOUN,None,None,,,,arrancar el tratamiento,63,arrancar-01592456-v,"pull.v.01, move.v.02","pull or pull out sharply: arrancar, desplumar, jalar, pelar, pelliscar, sacar",arrancar-00349223-v,"start or re-start vigorously: acelerar, arrancar",,,
,arrasar,,,,,,,,arrasar,3,arrasar-01661804-v,"destroy.v.01, unmake.v.01","tear down so as to make flat with the ground: arrasar, desarticular, desmantelar, igualar",arrasar-01102997-v,"defeat thoroughly: acabar con, arrasar, azotar, derrotar, despepitar, destruir, hacer papilla, vencer",,,
arrazo,arrazo,uniword,PROPN,None,None,,,,,,,,,,,,,
arreando;arrean,arrear,uniword,VERB,None,None,,,,supongo que así es como se siente uno cuando le arrean un puñetazo en la cara,53,,,,,,mwe,u.c.StringArray(elements=['estimular a las bestias para que echen a andar']),"u.c.StringArray(elements=['dar prisa, estimular'])"
arreando;arrean,arrear,uniword,VERB,None,None,,,,si te lo notas más inflamado pues arreando al médico',83,arrear-02652376-v,"grow.v.07, cultivate.v.01, herd.v.03, keep.v.16","herd and care for: arrear, disputar",ir-00341560-v,"follow a certain course: ir, proceder",,,
arrebatando,arrebatar,uniword,VERB,None,None,,,,arrebatar la vida,33,,,,,,mwe,,
arrojaron;arrojó,arrojar,uniword,VERB,None,None,,,,arrojar,13,"arrojar-01242689-v, arrojar-02222318-v",,"throw violently: arrojar; throw or cast away: arrojar, botar, descartar, desechar, deshacerse, echar, expulsar, naufragar, olvidar, tirar",arrojar-01629403-v,"cause to happen or be responsible for: arrojar, dar",,,
asaltar,asaltar,uniword,VERB,None,None,,,,asaltar,3,asalto-00773814-n,"act.n.02, activity.n.01, event.n.01, wrongdoing.n.02, psychological_feature.n.01, transgression.n.01, crime.n.01, abstraction.n.06, entity.n.01","the act of attacking: asalto, ataque, atentado",asaltar-01318081-v,search for something needed or desired: asaltar,,,
asimilar,asimilar,uniword,VERB,None,None,,,,"asimilar una noticia, 63",,,,,,,,,
asustada,asustado,uniword,ADJ,None,None,,,,,,,,,,,,,
ataca,atacar,uniword,VERB,None,None,,,,"atacar, ataques",11,atacar-00019792-v,"affect.v.02, change.v.01",begin to injure: atacar,atacar-01119169-v,"launch an attack or assault on; begin hostilities or start warfare with: agredir, asaltar, atacar",,,
ataques,ataque,uniword,NOUN,None,None,,,,,,,,,,,,,
atormentan,atormentar,uniword,VERB,None,None,,,,"tormenta, atormentar",31,tormenta+%C3%ADgnea-11457944-n,"atmospheric_phenomenon.n.01, storm.n.01, natural_phenomenon.n.01, phenomenon.n.01, physical_phenomenon.n.01, physical_entity.n.01, process.n.06, entity.n.01",,atormentar-01802689-v,"torment emotionally or mentally: atormentar, martirizar, torturar",,u.c.StringArray(elements=['tr. causar dolor o molestia corporal. (rae)']),atormentar
atrapadas,atrapado,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"atrapar, atrapado","11, 21",atrapar-01215421-v,"take.v.04, seize.v.01","succeed in catching or seizing, especially after a chase: atrapar, capturar",atrapar-02496185-v,place in a confining or embarrassing position: atrapar,,,
atravesando,atravesar,uniword,VERB,None,None,,,,59,,,,,,,,,
"autor 139]: hola, me gustaría saber como sigue tu madre y y si lo tenía muy extendido, a mi padre lo están tratando con quimio+inmuno y le falta un ciclo para terminar y después le dejarán la inmuno de mantenimiento

[autor 139]: hola, me gustaría saber como sigue tu madre y y si lo tenía muy extendido, a mi padre lo están tratando con quimio+inmuno y le falta un ciclo para terminar y después le dejarán la inmuno de mantenimiento",autor,multiword,NOUN,None,u.c.StringArray(elements=['Cancer » Cáncer como entidad']),,,,,,,,,,,,,
avance;avances,avance,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"avanzar, avanzado, avance",6,"avanzar-01995549-v, avanzar-01884266-v",,"move ahead; travel onward in time or space: avanzar, continuar, proceder, proseguir, seguir; move ahead steadily: avanzar",curar-00081725-v,"provide a cure for, make healthy again: curar, reavivar, sanar",,,
avance;avances,avance,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"avanzar, avanzado, avance",84,"avanzar-01995549-v, avanzar-01884266-v",,"move ahead; travel onward in time or space: avanzar, continuar, proceder, proseguir, seguir; move ahead steadily: avanzar",progreso-00249501-n,"gradual improvement or growth or development: adelanto, avance, progreso",,,
avanzado.;avanzado;avanzada,avanzado,uniword,ADJ,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
avanza.;avanzar;avanza;avanzaba,avanzar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"avanzar, avanzado, avance",34,"avanzar-01995549-v, avanzar-01884266-v",,"move ahead; travel onward in time or space: avanzar, continuar, proceder, proseguir, seguir; move ahead steadily: avanzar",avanzar-00248659-v,"develop in a positive way: anticipar, avanzar, progresar",,,
avanza.;avanzar;avanza;avanzaba,avanzar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,"avanzar, avanzado, avance","11, 12","avanzar-01995549-v, avanzar-01884266-v",,"move ahead; travel onward in time or space: avanzar, continuar, proceder, proseguir, seguir; move ahead steadily: avanzar",metástasis-13514314-n,"the organic processes (in a cell or organism) that are necessary for life: metabolismo, metástasis",,,
avence,avence,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor']),,,,,,,,,,,,,
aya pasado por,aya,multiword,PROPN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor']),,,,,,,,,,,,,
ayuda,ayuda,uniword,PROPN,None,None,,,,,,,,,,,,,
