text	related_MV	lemma	type	pos	TD	TD_add	BM	BM_def	BM_RAE	BM_additional	BM_hypernym	CM	CM_def	CM_RAE	MWE_Source
aceptar	aceptar, negar(se) a aceptar algo	aceptar	uniword	VERB	39, 53	None	aceptar-00719231-v; aceptar-02236124-v	react favorably to; consider right and proper: aceptar; receive willingly something given or offered: aceptar, querer, tomar		None		aceptar-00668805-v	tolerate or accommodate oneself to: acceptar, aceptar, tragarse, vivir con		
achacaba	achacar	achacar	uniword	VERB	52	None		atribuir, imputar a alguien o algo un delito, culpa, defecto o desgracia, generalmente con malicia o sin fundamento. 	u.c.StringArray(elements=['atribuir, imputar a alguien o algo un delito, culpa, defecto o desgracia, generalmente con malicia o sin fundamento. (rae)'])	u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venirse+abajo-01972570-v'])					
aclarar	aclarar	aclarar	uniword	VERB	81	None	aclarar-00549217-v	make clear, bright, light, or translucent: aclarar, clarificar, despejar		None	change.v.01	aclarar-00991385-v	make understand: aclarar, explicar, iluminar, ilustrar		
aclarar	aclarar	aclarar	uniword	VERB	22	None	aclarar-00549217-v	make clear, bright, light, or translucent: aclarar, clarificar, despejar	u.c.StringArray(elements=['disipar o quitar lo que ofusca la claridad o transparencia de algo.'])	None	change.v.01	sanar-00270561-v	heal or recover: arreglar, curar, curarse, mejorar, sanar, sanear		
aclare		aclare	uniword	VERB		None				None					
acompañarle	acompañar, compañía, 'es el amor el que te acompañará', acompañar en el sentimiento	acompañar él	uniword	VERB	77	None	acompañar-02025550-v	go or travel along with: acompañar		None	travel.v.02		Participar en los sentimientos de alguien.	Participar en los sentimientos de alguien.	
acompañarte	acompañar, compañía, 'es el amor el que te acompañará', acompañar en el sentimiento	acompañarte	uniword	VERB	77	None	acompañar-02025550-v	go or travel along with: acompañar		None	travel.v.03		Participar en los sentimientos de alguien.	Participar en los sentimientos de alguien.	
acompañándola	acompañar, compañía, 'es el amor el que te acompañará', acompañar en el sentimiento	acompañándolo	uniword	ADJ	77	None	acompañar-02025550-v	go or travel along with: acompañar		None	travel.v.04		Participar en los sentimientos de alguien.	Participar en los sentimientos de alguien.	
activarse	activar, actividad	activar él	uniword	VERB	24	None	activar-01643657-v	put in motion or move to act: accionar, activar, desencadenar, provocar		None	initiate.v.02, cause.v.01, make.v.04	recaer-00268165-v	deteriorate in health: agravarse, empeorar, empeorarse, recaer		
actividad	activar, actividad	actividad	uniword	NOUN	24	None	activar-01643657-v	put in motion or move to act: accionar, activar, desencadenar, provocar		None	initiate.v.02, cause.v.01, make.v.05	recaer-00268165-v	deteriorate in health: agravarse, empeorar, empeorarse, recaer		
actúa	actuar	actuar	uniword	VERB	22	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	actuar-01719921-v	perform on a stage or theater: actuar, interpretar, jugar, representar, tocar		None	make.v.03, perform.v.03, re-create.v.01	curar-00081725-v	provide a cure for, make healthy again: curar, reavivar, sanar		
acudí	acudir	acudir	uniword	VERB	77, 77	u.c.StringArray(elements=['Personas involucradas', 'Otros » Hablar sobre el cáncer'])	acudir-01835496-v	change location; move, travel, or proceed, also metaphorically: acudir, desplazarse, ir, mover, moverse, viajar	dicho de una persona: ir al sitio adonde le conviene o es llamada.	None			valerse de algo para algún fin.		
acumular	acumular información	acumular	uniword	VERB	53	None	acumular-01503404-v	arrange in stacks: acumular, amontonar, apilar, hacinar		None	arrange.v.01, put.v.01, move.v.02				
adaptado	adaptar(se)	adaptado	uniword	ADJ	39	None	adaptar-00299580-v'	make fit for, or change to suit a new purpose: acomodar, adaptar, adaptarse, ajustar		None		adaptar-00150287-v	adaptar, adaptarse, ajustar, ajustarse, conformar, conformarse, regular		
adaptar	adaptar(se)	adaptar	uniword	VERB	39	u.c.StringArray(elements=['Tratamiento » Cirugía'])	adaptar-00299580-v'	make fit for, or change to suit a new purpose: acomodar, adaptar, adaptarse, ajustar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/reconstrucci%C3%B3n-00270186-n'])		adaptar-00150287-v	adaptar, adaptarse, ajustar, ajustarse, conformar, conformarse, regular		
adelantar		adelantar	uniword	VERB		u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])				u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n'])					
adueñar(se)	adueñar(se) miedo y ansiedad de una persona	adueñar	uniword	VERB	32		adueñarse-02212646-v	take possession of: adueñarse, encontrarse			get.v.01				
afectación	afectado, afectación	afectación	uniword	NOUN		u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	afectar-00019448-v	act physically on; have an effect upon: afectar		None	change.v.00				
aferramos	aferrar, aferrar(se) a una posibilidad, aferrar(se) a un porcentaje	aferrar	uniword	VERB	52, 31	u.c.StringArray(elements=['personas>>apoyo'])	aferrar-01212572-v, aferrar-01216004-v, aferrar-01216331-v	take hold of; grab: aferrar, agarrar, apoderar, apresar, asir, capturar, coger, confiscar, embargar, incautar, prender, sobrecoger; hold firmly; hold on tightly or tenaciously: aferrar, aferrarse, asirse		None		aferrar-01776065-v	to remain emotionally or intellectually attached: aferrar		
afluencia		afluencia	uniword	NOUN		None				None					
afrontado	afrondar	afrontado	uniword	ADJ	11, 2	None	afrontar-01078783-v	oppose, as in hostility or a competition: afrentar, afrontar, confrontar, encarar, enfrentar		None	meet.v.08	afrontar-00812298-v	deal with (something unpleasant) head on: afrontar, confrontar, enfrentar, enfrentarse		
afrontándolo	afrondar	afrontando él	uniword	VERB	11, 2	None	afrontar-01078783-v	oppose, as in hostility or a competition: afrentar, afrontar, confrontar, encarar, enfrentar		None	meet.v.09	afrontar-00812298-v	deal with (something unpleasant) head on: afrontar, confrontar, enfrentar, enfrentarse		
afronté;afrontando;afrontar	afrondar	afrontar	uniword	VERB	11, 2	None	afrontar-01078783-v	oppose, as in hostility or a competition: afrentar, afrontar, confrontar, encarar, enfrentar		None	meet.v.10	afrontar-00812298-v	deal with (something unpleasant) head on: afrontar, confrontar, enfrentar, enfrentarse		
agredir	agresivo	agredir	uniword	VERB	11, 6	None	agresivo-01244846-a	characteristic of an enemy or one eager to fight: agresivo, belicoso, beligerante		None		agresivo-01356143-a	tending to spread quickly: agresivo		
agresivos;agresivo;agresiva	agresivo	agresivo	uniword	ADJ	11, 6	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	agresivo-01244846-a	characteristic of an enemy or one eager to fight: agresivo, belicoso, beligerante		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a'])		agresivo-01356143-a	tending to spread quickly: agresivo		
aguantar;aguantando	aguantar	aguantar	uniword	VERB	32, 33, 2, 71	u.c.StringArray(elements=['Estar enfermo con cáncer » Dolor'])	aguantar-01301410-v, aguantar-01546111-v	to close within bounds, limit or hold back from movement: aguantar, contener, sujetar; be standing; be upright: aguantar, alzar, levantar, levantarse, ponerse de pie, tolerar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/llevar-01432601-v'])		aguantar-00668099-v	put up with something or somebody unpleasant: aguantar, apechar, consentir, digerir, sobrellevar, soportar, sufrir, tolerar		
aguante	aguantar	aguante	uniword	ADJ	32, 33, 2, 71	None	aguantar-01301410-v, aguantar-01546111-v	to close within bounds, limit or hold back from movement: aguantar, contener, sujetar; be standing; be upright: aguantar, alzar, levantar, levantarse, ponerse de pie, tolerar		None		aguantar-00668099-v	put up with something or somebody unpleasant: aguantar, apechar, consentir, digerir, sobrellevar, soportar, sufrir, tolerar		
ahorrar	ahorrar fuerzas	ahorrar	uniword	VERB	35	None	ahorrar-02266920-v	spend less; buy at a reduced price: ahorrar		None		ahorrar-02225492-v	to keep up and reserve for personal or special use: ahorrar, conservar, preservar, resguardar		
aislamiento	aislamiento	aislamiento	uniword	NOUN	36	None	aislamiento-00827010-n	the act of protecting something by surrounding it with material that reduces or prevents the transmission of sound or heat or electricity: aislamiento		None	act.n.02, activity.n.01, event.n.01, psychological_feature.n.01, protection.n.01, abstraction.n.06, entity.n.01	aislamiento-07502576-n	a feeling of being disliked and alone: aislamiento		
alargue	alargar	alargue	uniword	VERB	6	None	alargar-00316631-v	become long or longer: alargar, alargarse, alongar, prolongar		None	increase.v.01, change_magnitude.v.01, grow.v.02, change.v.02	alargar-00317888-v	lengthen in time; cause to be or last longer: alargar, extenderse, prolongar		
alarmar	alarmar	alarmar	uniword	VERB	32	None	alarmar-00872414-v	warn or arouse to a sense of danger or call to a state of preparedness: alarmar, alertar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venirse+abajo-01972570-v'])	communicate.v.02, inform.v.01, interact.v.01, warn.v.01, act.v.01	alarmar-01782650-v	fill with apprehension or alarm; cause to be unpleasantly surprised: alarmar, horripilar, horrorizar		
albergas	albergar	albergar	uniword	VERB	3	None	albergar-02459173-v	provide housing for: albergar, alojar, cobijar, dar alojamiento, domiciliar, hospedar		None	shelter.v.01, give.v.03, transfer.v.05, supply.v.01	albergar-01773130-v	maintain (a theory, thoughts, or feelings): abrigar, albergar, mantener	u.c.StringArray(elements=['mantener o fomentar  en la mente un sentimiento o una idea'])	
aliados	buena anlimentación, ejercicio físico, hidratación, cariño a una misma y paciencia son los mejores aliados'	aliado	uniword	NOUN	3, 27, 22	None	aliado-02612939-a	of or relating to or denoting the Allies in World War II: aliado		None		ayuda-00082081-v	improve the condition of: auxilio, ayuda, ayudar		
aligerar	aligerar el tiempo	aligerar	uniword	VERB	3, 39, 33	None	descargar-00448680-v	become empty or void of its content: desalojar, descargar, descargarse, desocupar, vaciar		None	change_state.v.01, change.v.02	aligerarse-00082308-v	lessen pain or discomfort; alleviate: aligerarse, aliviar, dar alivio, laxar, mitigar, reconfortar, relajarse		
alimentaban	alimentar(se) el cáncer de algo	alimentar	uniword	VERB	11	None	alimentar-01178565-v	give food to: alimentar, dispensar, entregar, propinar, sustentar		None	provide.v.02, transfer.v.05, give.v.03	alimentar-01762178-v	stimulate: acalorar, alimentar, avivar		
alivia;aliviar	aliviar	aliviar	uniword	VERB	30	None	aliviadero-04277034-n	dejar que un líquido salga por el aliviadero de un recipiente, para evitar que sobrepase un determinado nivel de este', 'quitar a alguien o algo parte del peso que sobre él o ello carga.	u.c.StringArray(elements=['dejar que un líquido salga por el aliviadero de un recipiente, para evitar que sobrepase un determinado nivel de este', 'quitar a alguien o algo parte del peso que sobre él o ello carga.'])	None	whole.n.02, way.n.06, conduit.n.01, passage.n.03, physical_entity.n.01, object.n.01, entity.n.01, artifact.n.01	aliviar-00063916-v	cause to feel better: aliviar, calmar, tranquilizar	u.c.StringArray(elements=['disminuir o mitigar las enfermedades, las fatigas del cuerpo o las aflicciones del ánimo.'])	
alta,;alta;alto	alto grado, presión arterial alta, fiebre alta, alta incertidumbre, 	alto	uniword	ADJ	31, 53, 23	None	alto-01204557-a	(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like `knee-high'): alto		None		alto-01210854-a	greater than normal in degree or intensity or amount: alto		
amanecí	amanecer con dolor	amanecer	uniword	VERB	25	None	amanecer-07326108-n	the earliest period: alba, albor, amanecer		None	beginning.n.01, entity.n.01, event.n.01, psychological_feature.n.01, start.n.01, abstraction.n.06, happening.n.01	despertar-00018813-v	cause to become awake or conscious: despertar, despertarse	u.c.StringArray(elements=['aparecer o presentarse, especialmente de modo inesperado'])	
amargados	amargar, amargado	amargado	uniword	ADJ	3	None	amargo-02369460-a	tasting sour like a lemon: acre, agrio, amargo, ácido		None		amargo-01364993-a	amargo-01364993-a		
amargando	amargar, amargado	amargar	uniword	VERB	3	None	amargo-02369460-a	tasting sour like a lemon: acre, agrio, amargo, ácido		None		amargo-01364993-a	amargo-01364993-a		
amoldan	amodar(se)	amoldar	uniword	VERB	39	None	molde-05938795-n	a model considered worthy of imitation: modelo, molde		None	idea.n.01, ideal.n.01, psychological_feature.n.01, exemplar.n.01, abstraction.n.06, content.n.05, entity.n.01, cognition.n.01	adaptar-00150287-v	adaptar, adaptarse, ajustar, ajustarse, conformar, conformarse, regular		
amor		amor	uniword	PROPN		None				None					
ampliando		ampliar	uniword	VERB		None				None					
angelito		angelito	uniword	NOUN		None				None					
animado;animada	animar, animado, desanimar, ánimo, te animo, mucho animo	animado	uniword	ADJ	34, 76, 3	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	animado-00118066-a	endowed with animal life as distinguished from plant life: animado, viviente, vivo		None		animado-00362467-a	being full of or promoting cheer; having or showing good spirits: alegre, animado, divertido, jovial		
animo;animar	animar, animado, desanimar, ánimo, te animo, mucho animo	animar	uniword	VERB	34, 76, 3	None	animado-00118066-a	endowed with animal life as distinguished from plant life: animado, viviente, vivo		None		animado-00362467-a	being full of or promoting cheer; having or showing good spirits: alegre, animado, divertido, jovial		
ansiedad		ansiedad	uniword	NOUN		None				None					
anuncio		anuncio	uniword	NOUN		None				None					
apagando;apagan	apagar(se)	apagar	uniword	VERB	26	u.c.StringArray(elements=['Emociones » Otros'])	apagar-02761897-v	put out, as of fires, flames, or lights: apagar, apagarse, extinguir, extinguirse, irse		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n'])		morir-00358431-v	pass from physical life and lose all bodily attributes and functions necessary to sustain life: acudir, asfixiar, asfixiarse, caducar, caer muerto, colgar los guayos, croar, dejar de existir, diñar, entregar el alma, espichar, estirar la pata, estrangular, exhalar el último suspiro, expirar, fallecer, fenecer, finar, ir, irse al otro barrio, morir, palmar, pasar, pasar a mejor vida, perder la vida, perecer, salir, salir de este mundo, sucumbir, vencer	u.c.StringArray(elements=['morirse (‖ llegar al término de la vida). (rae)'])	
aparecerán;aparecido;aparece	aparición, aparecer	aparecer	uniword	VERB	24, 52	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])				None					
aparición		aparición	uniword	NOUN		u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])				None					
aplicaron	aplicar	aplicar	uniword	VERB	6	None	aplicar-01233387-v	cover (a surface) by smearing (a substance) over it: aplicar, cubrir, embadurnar, embarrar, manchar, untar		None	cover.v.01	administrar-00081072-v	give or apply (medications): administrar, dispensar		
apoderó	apoderar(se)	apoderar	uniword	VERB	32	u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])	apoderarse-01213614-v	take or capture by force: apoderar, apoderarse, capturar, confiscar, embargar, incautar, prender, tomar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n'])	take.v.04	tener-00065370-v	suffer from; be ill with: estar enfermo, padecer, tener		
aportemos;aportar	aportar	aportar	uniword	VERB	77	None	aportar-02237782-v	provide: aportar, contribuir, donar		None	pay.v.01, give.v.03, transfer.v.05	aportar-01182709-v	give what is desired or needed, especially support, food or sustenance: abastecer, aportar, aprovisionar, cateraje, dotar, facilitar, ministrar, proporcionar, proveer, suministrar, surtir		
apoyando;apoya;apoyemos.;apoyado	apoyar, apoyar(se)	apoyar	uniword	VERB	31, 76, 77	None	apoyar-01217043-v, apoyo-04359589-n	be the physical support of; carry the weight of: apoyar, soportar, sostener; any device that bears the weight of another thing: apoyo, soporte		None		 apoyo-07251984-n, apoyo-05693919-n	encouragement of the progress or growth or acceptance of something: apoyo, avance, fomento, fortalecimiento, promoción; something providing immaterial assistance to a person or cause or interest: apoyo, corroboración, sostén		
apoyo	apoyar, apoyar(se)	apoyo	uniword	NOUN	31, 76, 77	u.c.StringArray(elements=['personas>>apoyo'])	apoyar-01217043-v, apoyo-04359589-n	be the physical support of; carry the weight of: apoyar, soportar, sostener; any device that bears the weight of another thing: apoyo, soporte		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/apoyo-04360501-n'])		 apoyo-07251984-n, apoyo-05693919-n	encouragement of the progress or growth or acceptance of something: apoyo, avance, fomento, fortalecimiento, promoción; something providing immaterial assistance to a person or cause or interest: apoyo, corroboración, sostén		
aprendizaje		aprendizaje	uniword	NOUN		None				None					
apuntar	todo parece apuntar a'	apuntar	uniword	VERB	5	None	guiar-01931768-v	direct the course; determine the direction of travelling: apuntar, canalizar, dirigir, encaminar, guiar, indicar, liderar, maniobrar		None	control.v.01	indicar-00772640-v	give evidence of: apuntar, argumentar, demostrar, indicar, señalar		
aquí;aquí estamos		aquí	uniword	ADV		u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])				u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n'])					
arcadas	arcada	arcada	uniword	ADJ	23	None	arcada-02734217-n	a passageway under a curved masonry construction: arcada, arco		None	whole.n.02, way.n.06, access.n.03, physical_entity.n.01, object.n.01, entity.n.01, entrance.n.01, artifact.n.01	arcada-14359952-n	the state that precedes vomiting: ansia, arcada, asco, basca, mareo, naúsea, náusea		
armarte	armar, armar(se)	armar	uniword	VERB	3	None	armar-01087197-v	prepare oneself for a military confrontation: armar, armarse		None		armar-00407848-v	get ready for a particular purpose or event: armar, montar		
arranque	arrancar el tratamiento	arranque	uniword	NOUN	63	None	arrancar-01592456-v	pull or pull out sharply: arrancar, desplumar, jalar, pelar, pelliscar, sacar		None	pull.v.01, move.v.02	arrancar-00349223-v	start or re-start vigorously: acelerar, arrancar		
arrazo	arrasar	arrasar	uniword	VERB	3	None	arrasar-01661804-v	tear down so as to make flat with the ground: arrasar, desarticular, desmantelar, igualar		None	destroy.v.01, unmake.v.01	arrasar-01102997-v	defeat thoroughly: acabar con, arrasar, azotar, derrotar, despepitar, destruir, hacer papilla, vencer		
arreando;arrean	supongo que así es como se siente uno cuando le arrean un puñetazo en la cara	arrear	uniword	VERB	53	None			u.c.StringArray(elements=['estimular a las bestias para que echen a andar'])	None				u.c.StringArray(elements=['dar prisa, estimular'])	
arreando;arrean	si te lo notas más inflamado pues arreando al médico'	arrear	uniword	VERB	83	None	arrear-02652376-v	herd and care for: arrear, disputar		None	grow.v.07, cultivate.v.01, herd.v.03, keep.v.16	ir-00341560-v	follow a certain course: ir, proceder		
arrebatando	arrebatar la vida	arrebatar	uniword	VERB	33	None				None					
arrojaron;arrojó	arrojar	arrojar	uniword	VERB	13	None	arrojar-01242689-v, arrojar-02222318-v	throw violently: arrojar; throw or cast away: arrojar, botar, descartar, desechar, deshacerse, echar, expulsar, naufragar, olvidar, tirar		None		arrojar-01629403-v	cause to happen or be responsible for: arrojar, dar		
asaltar	asaltar	asaltar	uniword	VERB	3	None	asalto-00773814-n	the act of attacking: asalto, ataque, atentado		None	act.n.02, activity.n.01, event.n.01, wrongdoing.n.02, psychological_feature.n.01, transgression.n.01, crime.n.01, abstraction.n.06, entity.n.01	asaltar-01318081-v	search for something needed or desired: asaltar		
asimilar	asimilar una noticia, 63	asimilar	uniword	VERB		None				None					
asustada		asustado	uniword	ADJ		None				None					
ataca	atacar, ataques	atacar	uniword	VERB	11	None	atacar-00019792-v	begin to injure: atacar		None	affect.v.02, change.v.01	atacar-01119169-v	launch an attack or assault on; begin hostilities or start warfare with: agredir, asaltar, atacar		
ataques	atacar, ataques	ataque	uniword	NOUN	11	None	atacar-00019792-v	begin to injure: atacar		None	affect.v.02, change.v.01	atacar-01119169-v	launch an attack or assault on; begin hostilities or start warfare with: agredir, asaltar, atacar		
atormentan	tormenta, atormentar	atormentar	uniword	VERB	31	None	tormenta+%C3%ADgnea-11457944-n		u.c.StringArray(elements=['tr. causar dolor o molestia corporal. (rae)'])	None	atmospheric_phenomenon.n.01, storm.n.01, natural_phenomenon.n.01, phenomenon.n.01, physical_phenomenon.n.01, physical_entity.n.01, process.n.06, entity.n.01	atormentar-01802689-v	torment emotionally or mentally: atormentar, martirizar, torturar	atormentar	
atrapadas	atrapar, atrapado	atrapado	uniword	ADJ	11, 21	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	atrapar-01215421-v	succeed in catching or seizing, especially after a chase: atrapar, capturar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a'])	take.v.04, seize.v.01	atrapar-02496185-v	place in a confining or embarrassing position: atrapar		
atravesando	59	atravesar	uniword	VERB		None				None					
avance;avances	avanzar, avanzado, avance	avance	uniword	NOUN	6	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	avanzar-01995549-v, avanzar-01884266-v	move ahead; travel onward in time or space: avanzar, continuar, proceder, proseguir, seguir; move ahead steadily: avanzar		None		curar-00081725-v	provide a cure for, make healthy again: curar, reavivar, sanar		
avance;avances	avanzar, avanzado, avance	avance	uniword	NOUN	84	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	avanzar-01995549-v, avanzar-01884266-v	move ahead; travel onward in time or space: avanzar, continuar, proceder, proseguir, seguir; move ahead steadily: avanzar		None		progreso-00249501-n	gradual improvement or growth or development: adelanto, avance, progreso		
avanzado.;avanzado;avanzada	avanzar, avanzado, avance	avanzado	uniword	ADJ	11, 12	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	avanzar-01995549-v, avanzar-01884266-v	move ahead; travel onward in time or space: avanzar, continuar, proceder, proseguir, seguir; move ahead steadily: avanzar		None		metástasis-13514314-n	the organic processes (in a cell or organism) that are necessary for life: metabolismo, metástasis		
avanza.;avanzar;avanza;avanzaba	avanzar, avanzado, avance	avanzar	uniword	VERB	34	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	avanzar-01995549-v, avanzar-01884266-v	move ahead; travel onward in time or space: avanzar, continuar, proceder, proseguir, seguir; move ahead steadily: avanzar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a'])		avanzar-00248659-v	develop in a positive way: anticipar, avanzar, progresar		
avanza.;avanzar;avanza;avanzaba	avanzar, avanzado, avance	avanzar	uniword	VERB	11, 12	u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])	avanzar-01995549-v, avanzar-01884266-v	move ahead; travel onward in time or space: avanzar, continuar, proceder, proseguir, seguir; move ahead steadily: avanzar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a'])		metástasis-13514314-n	the organic processes (in a cell or organism) that are necessary for life: metabolismo, metástasis		
ayuda	ayudar, ayuda	ayuda	uniword	PROPN	7, 77, 22, 74	None	ayudar-02414710-v; ayudar-02547586-v	act as an assistant in a subordinate or supportive function: asistir, ayudar; give help or assistance; be of service: asistir, auxiliar, ayudar		None		ayudar-00082081-v; ayuda-00654885-n	improve the condition of: auxilio, ayuda, ayudar; the work of providing treatment for or attending to someone or something: atención, ayuda, cuidado, cuidados, cura		
ayudado;ayudar	ayudar, ayuda	ayudar	uniword	VERB	7, 77, 22, 74	None	ayudar-02414710-v; ayudar-02547586-v	act as an assistant in a subordinate or supportive function: asistir, ayudar; give help or assistance; be of service: asistir, auxiliar, ayudar		None		ayudar-00082081-v; ayuda-00654885-n	improve the condition of: auxilio, ayuda, ayudar; the work of providing treatment for or attending to someone or something: atención, ayuda, cuidado, cuidados, cura		
ayudarlo	ayudar, ayuda	ayudar él	uniword	VERB	7, 77, 22, 74	u.c.StringArray(elements=['Personas » Familia, pareja, hijos'])	ayudar-02414710-v; ayudar-02547586-v	act as an assistant in a subordinate or supportive function: asistir, ayudar; give help or assistance; be of service: asistir, auxiliar, ayudar		u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/protagonista-10172793-n'])		ayudar-00082081-v; ayuda-00654885-n	improve the condition of: auxilio, ayuda, ayudar; the work of providing treatment for or attending to someone or something: atención, ayuda, cuidado, cuidados, cura		
bajado;baja;bajar	bajar, bajado, tener bajas las defensas	bajar	uniword	VERB	23	None	bajar-01976841-v	to fall vertically: bajar, caer		None	travel.v.01, descend.v.01	bajar-00267855-v	make lower or quieter: bajar		
bajo;bajos		bajo	uniword	ADP		None				None					
bajones	bajón	bajón	uniword	NOUN	3	None	bajar-01976841-v	to fall vertically: bajar, caer		None	travel.v.01, descend.v.01				
barajar;barajando	barajar posibilidades	barajar	uniword	VERB	6, 51	None	barajar-01418667-v	mix so as to make a random order or arrangement: barajar, mezclar, revolver		None	handle.v.04, manipulate.v.02, touch.v.01	contemplar-00703875-v	consider as a possibility: contemplar	u.c.StringArray(elements=['considerar las varias posibilidades o alternativas antes de tomar una decisión.'])	
